datum;factuur;product;omschrijving;aantal;prijs;eenheid
2025-07-26;1229;Aanbetaling (4);Aanbetaling Prijsopgave Sonty (3848);1;1236.22;prijs
2025-07-26;1230;Aanbetaling (4);Aanbetaling Prijsopgave Sonty (3873);1;1650.9;prijs
2025-07-26;1231;Aanbetaling (4);Aanbetaling Prijsopgave rolluik (3923);1;383.01;prijs
2025-07-26;1232;Zip Design (20092);Breedte: 3040 mm<p>Hoogte: 2160 mm</p><p>Kastmaat: 110 mm</p><p>Kleur omvatting: Ral 7016 STR</p><p>Kleur doek: 010010 C;1;1466.94;stuks
2025-07-26;1232;Montage screen bedraad. (20251);- Montage<p></p><p>- Klein materiaal</p><p>- Afwerken elektra</p><p>- Afstellen motor</p><p>- 2 uur, 2 monteurs.</p><p><;1;123.97;stuks
2025-07-26;1232;Aanbetaling (4);Aanbetaling - factuur 674 van 13-05-2025.;-1;623.55;prijs
2025-07-26;1233;Sunbasic Open Casette (20177);Breedte: 2900 mm<p>Uitval: 2000 mm</p><p>Kleur cassette: RAL 9001</p><p>Kleur doek: U140</p><p>Bediening: Handbediend</p;1;1262.81;stuks
2025-07-26;1233;Montage knikarmscherm standaard. (20267);- Montage d.m.v. chemisch anker<p>- Afwerken elektra</p><p>- Klein materiaal</p><p>- Afstellen zonwering </p>;1;206.61;stuks
2025-07-26;1233;Korting (20090);Tijdelijke actie, 15% korting;1;-220.66;prijs
2025-07-26;1233;Aanbetaling (4);Aanbetaling - factuur 652 van 10-05-2025.;-1;499.5;prijs
2025-07-26;1234;Aanbetaling (4);Aanbetaling Prijsopgaaf Raamdeco (3859);1;2703.14;prijs
2025-07-26;1235;Zip Design (20092);Breedte: 2930 mm<p>Hoogte: 1340 mm</p><p>Kastmaat: 105 mm</p><p>Kleur omvatting: Ral 9010&nbsp,</p><p>Kleur doek: 71818<;1;839.67;stuks
2025-07-26;1235;Zip Design (20092);Breedte: 3935 mm<p>Hoogte: 2610 mm</p><p>Kastmaat: 105 mm</p><p>Kleur omvatting: Ral 7016</p><p>Kleur doek: 71818</p><p>;1;1100;stuks
2025-07-26;1235;Zip Design (20092);Breedte: 3858 mm<p>Hoogte: 2700 mm</p><p>Kastmaat: 105 mm</p><p>Kleur omvatting: Ral 7016</p><p>Kleur doek: 71818</p><p>;1;1100;stuks
2025-07-29;1237;Rolluik (RollSUPER) (20064);Breedte: 1650 mm<p>Hoogte:&nbsp, 1745 mm</p><p>Kastmaat: 205 mm (schuin)</p><p>Kleur Omvatting: RAL 7016</p><p>Kleur Pan;1;699.09;stuks
2025-07-29;1237;Rolluik (RollSUPER) (20064);Breedte: 1520 mm<p>Hoogte: 2720 mm</p><p>Kastmaat: 205 mm (schuin)</p><p>Kleur Omvatting: RAL 7016</p><p>Kleur Pantser: ;1;795.87;stuks
2025-07-29;1237;Hoeklijnen (20100);Maten: 20x80x1405<p>Kleur: Ral 7016</p><p>Materiaal: Aluminium</p>;1;38.84;stuks
2025-07-29;1237;Montage Rolluik Bedraad (20065);- Montage<p>- Klein materiaal</p><p>- Afstellen motor</p>;2;123.97;stuks
