datum;leverancier;art;oms;aantal;netto;bestand
2025-07-31;Würth;019005030;Spaanplaatschroef, verzonken freeskop;500;15.75;2025-07-31_72_4750063609.PDF
2025-07-31;Würth;0153745030;Spaanplaatschroef, lenskop;500;15.9;2025-07-31_72_4750063609.PDF
2025-07-31;Würth;0153745030;Spaanplaatschroef, lenskop;500;15.9;2025-07-31_72_4750063609.PDF
2025-07-31;Würth;0153750030;Spaanplaatschroef, lenskop;500;0;2025-07-31_72_4750063609.PDF
2025-08-25;Würth;590680636;Universele plug, kunststof;600;0;2025-08-25_70_4750081405.PDF
2025-08-25;Würth;041910;Grote ring;200;0;2025-08-25_70_4750081405.PDF
2025-08-25;Würth;5918242300;Injectiesysteem beton en metselwerk;7;5;2025-08-25_70_4750081405.PDF
2025-08-25;Würth;0903420001;Statische mengbuis;50;0;2025-08-25_70_4750081405.PDF
2025-08-25;Würth;095310;Draadstang;5;89.3;2025-08-25_70_4750081405.PDF
2025-09-23;Würth;095410;Draadstang;4;0;2025-09-23_68_4750113008.PDF
2025-09-23;Würth;590680636;Universele plug, kunststof;600;0;2025-09-23_68_4750113008.PDF
2025-09-23;Würth;0153750030;Spaanplaatschroef, lenskop;1000;0;2025-09-23_68_4750113008.PDF
2025-09-23;Würth;0614176780;Bithouder, krachtmoeren;1;0;2025-09-23_68_4750113008.PDF
2025-09-23;Würth;0153750050;Spaanplaatschroef, lenskop;500;5;2025-09-23_68_4750113008.PDF
2025-09-23;Würth;017736080;Spaanplaatschroef, flenskop;100;14.03;2025-09-23_68_4750113008.PDF
2025-09-23;Würth;0904310;Messingplug;100;5;2025-09-23_68_4750113008.PDF
2025-09-23;Würth;06136321;Schroevendraaier, Phillips VDE;1;7.17;2025-09-23_68_4750113008.PDF
2025-09-25;Würth;040910;Ring;100;6;2025-09-25_67_4750115481.PDF
2025-09-25;Würth;590681476;Universele plug, kunststof;60;9;2025-09-25_67_4750115481.PDF
2025-09-26;Würth;063202;Aansluiting, gaten- en cilinderzaag;1;0;2025-09-26_65_4750117479.PDF
2025-09-26;Würth;0632900060;Gatzaag;1;9;2025-09-26_65_4750117479.PDF
2025-09-26;Würth;0893050004;Snijolie;1;9;2025-09-26_65_4750117479.PDF
2025-09-26;Würth;0892160500;Acrylkit buiten;1;9;2025-09-26_65_4750117479.PDF
2025-09-26;Würth;0892500100;Montageschuim, 1 component;1;9;2025-09-26_65_4750117479.PDF
2025-09-26;Würth;0632900019;Gatzaag;1;9;2025-09-26_65_4750117479.PDF
2025-09-26;Würth;0632900022;Gatzaag;1;9;2025-09-26_65_4750117479.PDF
2025-09-26;Würth;0624911200;Spiraalboor, metaal;1;9;2025-09-26_65_4750117479.PDF
2025-09-26;Würth;0624910600;Spiraalboor, metaal;10;0;2025-09-26_65_4750117479.PDF
2025-10-03;Würth;590681476;Universele plug, kunststof;160;2;2025-10-03_64_4750127548.PDF
2025-10-20;Würth;0631100400;Bekistingsboor;1;5;2025-10-20_63_4750144474.PDF
2025-10-20;Würth;0624910019;Spiraalboor, metaal, assortiment/set;1;115.5;2025-10-20_63_4750144474.PDF
2025-10-20;Würth;08901087;Remmenreiniger;2;8;2025-10-20_63_4750144474.PDF
2025-10-24;Würth;0903450208;Injectiesysteem beton en metselwerk;12;2;2025-10-24_62_4750149647.PDF
2025-10-24;Würth;08925102;Siliconenkit, neutraal;1;4;2025-10-24_62_4750149647.PDF
2025-10-24;Würth;0648076011;Hamerboor Plus;2;0;2025-10-24_62_4750149647.PDF
2025-10-24;Würth;0614176780;Bithouder, krachtmoeren;1;0;2025-10-24_62_4750149647.PDF
2025-10-24;Würth;0903450208;Injectiesysteem beton en metselwerk;2;2;2025-10-24_62_4750149647.PDF
2025-10-24;Würth;089251012;Siliconenkit, neutraal;1;9.18;2025-10-24_62_4750149647.PDF
2025-10-24;Würth;0664101250;Doorslijpschijf, gebonden;25;42.75;2025-10-24_62_4750149647.PDF
2025-10-24;Würth;0153750030;Spaanplaatschroef, lenskop;500;0;2025-10-24_62_4750149647.PDF
2025-10-24;Würth;08916532;Spuitmondstuk, hersluitbaar;24;13.44;2025-10-24_62_4750149647.PDF
2025-10-24;Würth;0903420001;Statische mengbuis;20;0;2025-10-24_62_4750149647.PDF
2025-10-24;Würth;095410;Draadstang;6;0;2025-10-24_62_4750149647.PDF
2025-10-24;Würth;0624001000;Spiraalboor, metaal;5;33.4;2025-10-24_62_4750149647.PDF
2025-11-13;Würth;590681476;Universele plug, kunststof;80;6;2025-11-13_61_4750172875.PDF
2025-11-17;Würth;0899411018;Bescherm. handschoen, gebreid, gecoat;12;6;2025-11-17_60_4750177056.PDF
2025-11-17;Würth;09032521;Gipsplaatplug, zinkspuitgietwerk;200;0;2025-11-17_60_4750177056.PDF
2025-11-17;Würth;0153745040;Spaanplaatschroef, lenskop;500;5;2025-11-17_60_4750177056.PDF
2025-11-28;Würth;0903420001;Statische mengbuis;30;0;2025-11-28_58_4750189420.PDF
2025-11-28;Würth;0903420001;Statische mengbuis;20;0;2025-11-28_58_4750189420.PDF
2025-12-22;Isero;343040;Plaatschroef zelfborend gegalv. met;20;6.46;2025-12-22_57_VV8093598.pdf
2026-01-09;Würth;590680636;Universele plug, kunststof;1000;0;2026-01-09_56_4750223672.PDF
2026-01-09;Würth;590680636;Universele plug, kunststof;1000;0;2026-01-09_56_4750223672.PDF
2026-03-06;Würth;0590010;Afdekkap, zeskantkop;300;5;2026-03-06_55_4750287397.PDF
2026-03-06;Würth;0590010;Afdekkap, zeskantkop;300;5;2026-03-06_55_4750287397.PDF
2026-03-06;Würth;0641206010;Universele boor;10;43.3;2026-03-06_55_4750287397.PDF
2026-03-06;Würth;0648078011;Hamerboor Plus;10;43.7;2026-03-06_55_4750287397.PDF
2026-03-06;Würth;0648071216;Hamerboor Plus;10;63.3;2026-03-06_55_4750287397.PDF
2026-03-06;Würth;0641208012;Universele boor;10;55.2;2026-03-06_55_4750287397.PDF
2026-03-06;Würth;0641201215;Universele boor;5;40.65;2026-03-06_55_4750287397.PDF
2026-03-06;Würth;0631100400;Bekistingsboor;1;8;2026-03-06_55_4750287397.PDF
2026-03-12;Berner;85480-500;SPAANPLSCH EC TX 4,0X 50 CK ZI;1500;30.45;2026-03-12_54_1204003995.pdf
2026-03-12;Berner;85502-300;SPAANPLSCH EC TX 5,0X 50 CK ZI;600;17.82;2026-03-12_54_1204003995.pdf
2026-03-12;Berner;5380-100;ZESKANTMOER 934     M10 RVS A2;400;56.56;2026-03-12_54_1204003995.pdf
2026-03-12;Berner;5371-200;ZESKANTMOER 934     M 8 RVS A2;200;13.22;2026-03-12_54_1204003995.pdf
2026-03-12;Berner;5363-200;ZESKANTMOER 934     M 6 RVS A2;200;7.74;2026-03-12_54_1204003995.pdf
2026-03-12;Berner;3335-200;SLUITRING DIN 9021 M 6 RVS A2;800;51.6;2026-03-12_54_1204003995.pdf
2026-03-12;Berner;3337-100;SLUITRING DIN 9021 M10 RVS A2;400;44.48;2026-03-12_54_1204003995.pdf
2026-03-12;Berner;932482-25;HOUTDRAADBOUT 571 10X100      A2;25;17.62;2026-03-12_54_1204003995.pdf
2026-03-17;Berner;13792-15;ALU-PVC      REINIGER       400ML;15;96.45;2026-03-17_53_1204005209.pdf
2026-03-17;Berner;101625-100;EXPRESSDRILL          14X39     ZI;100;14.54;2026-03-17_53_1204005209.pdf
2026-03-17;Berner;85419-500;SPAANPLSCH EC PZ 4,5X 35 CK ZI;500;11.45;2026-03-17_53_1204005209.pdf
2026-03-19;Würth;032210;Zeskantmoer;100;16.57;2026-03-19_52_4750300420.PDF
2026-03-19;Würth;0590010;Afdekkap, zeskantkop;50;8;2026-03-19_52_4750300420.PDF
2026-03-19;Würth;590681476;Universele plug, kunststof;40;16.5;2026-03-19_52_4750300420.PDF
2026-03-23;Würth;0626910025;Spiraalboor, metaal, assortiment/set;1;0;2026-03-23_51_4750303904.PDF
2026-03-23;Würth;5713922115;Spanband met klemslot;4;6;2026-03-23_51_4750303904.PDF
2026-03-30;Berner;132386-12;MULTI COMPOUND UNI PLUS 300ML;12;119.4;2026-03-30_49_1204008219.pdf
2026-03-30;Berner;411087;SILIKIT OX PR ANTRACIET 310ML;12;64.8;2026-03-30_49_1204008219.pdf
2026-03-30;Berner;411101;SILIKIT OX PR SIGNAALWIT 310ML;12;64.8;2026-03-30_49_1204008219.pdf
2026-03-30;Berner;411107;SILIKIT OX PR GITZWART       310ML;12;64.8;2026-03-30_49_1204008219.pdf
2026-03-30;Berner;932482-25;HOUTDRAADBOUT 571 10X100    A2;150;105.72;2026-03-30_50_1204008105.pdf
2026-04-03;Würth;590680636;Universele plug, kunststof;200;6;2026-04-03_48_4750319309.PDF
2026-04-03;Würth;0590010;Afdekkap, zeskantkop;200;0;2026-04-03_48_4750319309.PDF
2026-04-03;Würth;059006;Afdekkap, zeskantkop;200;24.8;2026-04-03_48_4750319309.PDF
2026-04-08;Berner;109320-100;TAPBOUT 933 RVS M 6X 30 A2;100;10.22;2026-04-08_47_Factuur_1204010985_van_08.04.2026.PDF
2026-04-08;Berner;356808-100;TAPBOUT 933 RVS M 10X 45 A2;100;40.4;2026-04-08_47_Factuur_1204010985_van_08.04.2026.PDF
2026-04-08;Berner;85502-300;SPAANPLSCH EC TX 5,0X 50 CK ZI;900;38.07;2026-04-08_47_Factuur_1204010985_van_08.04.2026.PDF
2026-04-08;Berner;85504-200;SPAANPLSCH EC TX 5,0X 70 CK ZI;200;11.7;2026-04-08_47_Factuur_1204010985_van_08.04.2026.PDF
2026-04-21;Würth;590680636;Universele plug, kunststof;4000;0;2026-04-21_46_4750336207.PDF
