datum;art;oms;besteld;geleverd;prijs;totaal;bestand
2026-06-11;1781843;G2/IRI45/441 /2W/R80/C2/N /--;1;1;245.35;245.35;Bonnen_materialen/2026-06-11_30_invoice_10295092.pdf
2026-06-11;1870404;SITUO 1 RTS PURE II NE;1;1;40.4;40.4;Bonnen_materialen/2026-06-11_30_invoice_10295092.pdf
2026-06-11;1003184;POWER ADAPTOR 0.6 DC 230V/29.4;1;1;35.3;35.3;Bonnen_materialen/2026-06-11_30_invoice_10295092.pdf
2026-06-11;1002353;IRISMO 45 WIREFREE RTS W/BAT;1;1;207.06;207.06;Bonnen_materialen/2026-06-11_30_invoice_10295092.pdf
2026-07-23;9016354;EOLIS 3D WIREFREE IO BLACK;10;10;77.99;779.87;diversen/2026-07-23_0_invoice_10302016.pdf
2026-07-23;1870313;SITUO 1 IO PURE II NE;10;10;32.11;321.09;diversen/2026-07-23_0_invoice_10302016.pdf
2026-07-20;1033151;RS100 IO 20 NM VVF 5M-BAR;1;1;179.05;179.05;diversen/2026-07-20_7_invoice_10301447.pdf
2026-07-16;1244718;RS100 SOLAR IO 6/15 KIT;1;1;216.35;216.35;diversen/2026-07-16_11_invoice_10300709.pdf
2026-07-16;9030077;Tijdelijke toeslag 1.5%;1;1;5.93;5.93;diversen/2026-07-16_11_invoice_10300709.pdf
2026-07-10;1244719;RS100 SOLAR IO 10/12 KIT;1;1;226.3;226.3;diversen/2026-07-10_21_invoice_10299911.pdf
2026-07-10;9030077;Tijdelijke toeslag 1.5%;1;1;3.39;3.39;diversen/2026-07-10_21_invoice_10299911.pdf
2026-07-10;1115208;SUNEA IO 30/17 VVF 5M;1;1;200.14;200.14;diversen/2026-07-10_22_invoice_10299912.pdf
2026-07-10;1117115;OREA 50 RTS 40/17 RRF 3M;2;2;214.08;428.16;diversen/2026-07-10_22_invoice_10299912.pdf
2026-07-10;1037436;ALTUS 50 RTS 10/17 RTS VVF 5M;2;2;153.46;306.91;diversen/2026-07-10_22_invoice_10299912.pdf
2026-07-10;9030077;Tijdelijke toeslag 1.5%;1;1;14.03;14.03;diversen/2026-07-10_22_invoice_10299912.pdf
2026-07-10;9015971;UNIVERSAL SETTING TOOL;1;1;42.86;42.86;diversen/2026-07-10_23_invoice_10299913.pdf
2026-07-09;1116233;SUNEA IO 35/17 VVF 5M;-1;-1;201.17;-201.17;diversen/2026-07-09_24_invoice_10299633.pdf
2026-07-09;1042010;SUNILUS RH IO 20/17 VVF 5M;-1;-1;165.69;-165.69;diversen/2026-07-09_25_invoice_10299635.pdf
2026-07-09;1042010;SUNILUS RH IO 20/17 VVF 5M;-1;-1;165.69;-165.69;diversen/2026-07-09_26_invoice_10299636.pdf
2026-07-09;1841134;KEYGO IO 1-WAY;-4;-4;47.48;-189.92;diversen/2026-07-09_27_invoice_10299634.pdf
2026-07-09;1037382;OXIMO RTS 10/17 VVF 5M;-1;-1;156.2;-156.2;diversen/2026-07-09_27_invoice_10299634.pdf
2026-06-18;1042010;SUNILUS RH IO 20/17 VVF 5M;1;1;343.2;343.2;diversen/2026-06-18_51_invoice_10296162.pdf
2026-06-18;1042010;SUNILUS RH IO 20/17 VVF 5M;1;1;343.2;343.2;diversen/2026-06-18_52_invoice_10296161.pdf
2026-05-27;1045516;IO OXIMO 30/17 VVF 5M;1;1;376.38;376.38;diversen/2026-05-27_80_invoice_10292553.pdf
2026-05-27;1871306;SUNTEIS IO;1;1;116.28;116.28;diversen/2026-05-27_81_invoice_10292552.pdf
2026-05-27;1870313;SITUO 1 IO PURE II NE;12;12;45.19;542.28;diversen/2026-05-27_81_invoice_10292552.pdf
2026-05-27;1870329;SITUO 5 IO PURE II NE;12;12;64.47;773.64;diversen/2026-05-27_81_invoice_10292552.pdf
2026-05-27;1870420;SITUO 5 RTS PURE II NE;5;5;62.63;313.15;diversen/2026-05-27_81_invoice_10292552.pdf
2026-05-27;1870404;SITUO 1 RTS PURE II NE;5;5;40.4;202;diversen/2026-05-27_81_invoice_10292552.pdf
2026-05-27;1117115;OREA 50 RTS 40/17 RRF 3M;1;1;430.44;430.44;diversen/2026-05-27_82_invoice_10292554.pdf
2026-05-12;1841134;KEYGO IO 1-WAY;4;4;48.45;193.8;diversen/2026-05-12_97_invoice_10290647.pdf
2026-05-12;1037382;OXIMO RTS 10/17 VVF 5M;1;1;318.75;318.75;diversen/2026-05-12_97_invoice_10290647.pdf
2026-05-07;1116233;SUNEA IO 35/17 VVF 5M;1;1;410.55;410.55;diversen/2026-05-07_102_invoice_10290047.pdf
2026-04-29;1040163;LT METEOR 20/17 VVF 3M;1;1;234.09;234.09;diversen/2026-04-29_110_invoice_10288621.pdf
2026-04-22;1049448;ALTUS 50 RTS 40/17 VVF 5M;1;1;388.11;388.11;diversen/2026-04-22_122_invoice_10287733.pdf
2026-04-20;1871306;SUNTEIS IO;5;5;116.28;581.4;diversen/2026-04-20_124_invoice_10287352.pdf
2026-04-14;1871306;SUNTEIS IO;5;5;116.28;581.4;diversen/2026-04-14_129_invoice_10286414.pdf
