code,domein,datum_aanvraag,kanaal,spec,status,prijs_knikarm,prijs_screens,montage_inbegrepen,notities
A,zonwering-fabriek.nl,2026-09-09,configurator,"ritsscreen 237x228/176x214 + rolluik 204x236/143x197, antraciet RAL7016",configurator-prijs,,990,nee (DIY-site zonder montageoptie),"screen_bedraad=990; screen_solar=928; rolluik_bedraad=729; rolluik_solar=672 (Somfy IO motor; rolluik exact antraciet RAL7016 leverbaar, screen-doek alleen in grijs 108108 beschikbaar (geen antraciet doekkleur in assortiment, dichtstbijzijnde grijstint gebruikt); vrije mm-invoer, geen afronding nodig; 3 jr garantie, levertijd 5-8 wkn, prijzen excl. montage)"
B,zonweringbestellen.nl,2026-09-09,configurator,"ZIP-screen 237x228 (ZB TOP ZIP 95) + rolluik ZB.41 204x236/143x197, antraciet RAL7016",configurator-prijs,,707,nee (DIY-webshop zonder montageoptie),"screen_bedraad=707 (Somfy Sunilus IO motor, doek 3030 Charcoal want geen exacte RAL7016 doekstof; kast Antraciet RAL7016 exact); screen_solar=niet beschikbaar (screens alleen bedrade Somfy-motoren, geen solar-motorkeuze aangetroffen bij ZIP 75/ZIP 95); rolluik_bedraad=571,95 (Somfy Oximo IO motor, lamel 13 antraciet RAL7016 exact); rolluik_solar=644,95 (Somfy RS100 IO SOLAR motor, zelfde antraciet kleur); vrije mm-invoer geen afronding nodig; prijzen excl. montage"
E,zonnerij.nl,2026-09-09,mail,4 producten + pergola/knikarm-vraag,verzonden,,,onbekend,"naar info@zonnerij.nl; adres Wassenaar"
H,zonweringstunter.nl,2026-09-09,mail,4 producten + pergola/knikarm-vraag,verzonden,,,onbekend,"naar info@zonweringstunter.nl; adres Wassenaar"
I,screen-discount.nl,2026-09-09,mail,4 producten + pergola/knikarm-vraag,verzonden,,,onbekend,"naar info@jvszonwering.nl; adres Wassenaar"
K,senft.nl,2026-09-09,mail,4 producten + pergola/knikarm-vraag,verzonden,,,onbekend,"naar info@senft.nl; adres Wassenaar"
L,degalux.com,2026-09-09,mail,4 producten + pergola/knikarm-vraag,verzonden,,,onbekend,"naar verkoop@degalux.com; adres Wassenaar"
N,palszonwering.nl,2026-09-09,mail,4 producten + pergola/knikarm-vraag,verzonden,,,onbekend,"naar info@palszonwering.nl; adres Wassenaar"
Q,megazonwering.nl,2026-09-09,mail,4 producten + pergola/knikarm-vraag,verzonden,,,onbekend,"naar info@megazonwering.nl; adres Wassenaar"
R,voorraadscherm.nl,2026-09-09,mail,4 producten + pergola/knikarm-vraag,verzonden,,,onbekend,"naar info@voorraadscherm.nl; adres Wassenaar"
S,screendirect.nl,2026-09-09,mail,4 producten + pergola/knikarm-vraag,verzonden,,,onbekend,"naar info@screendirect.nl; adres Wassenaar"
T,aluparts.nl,2026-09-09,mail,4 producten + pergola/knikarm-vraag,verzonden,,,onbekend,"naar info@aluparts.nl; adres Wassenaar"
P,byzonbuitenzonwering.nl,2026-09-09,mail,4 producten + pergola/knikarm-vraag,verzonden,,,onbekend,"naar info@byzon.nl; adres Bilthoven"
U,spiegelzonwering.nl,2026-09-09,mail,4 producten + pergola/knikarm-vraag,verzonden,,,onbekend,"naar info@spiegelzonwering.nl; adres Bilthoven"
V,zandschulpzonwering.nl,2026-09-09,mail,4 producten + pergola/knikarm-vraag,verzonden,,,onbekend,"naar info@zandschulpzonwering.nl; adres Oosterbeek"
