vve;woningen;postcode;huisnummer;wijk;stadsdeel;lat;lon;aantal_postcodes
Vereniging van Eigenaars Guido van Dethstraat 60 tot en met 118 (even nummers) te 's-Gravenhage;900;2548ZZ;60;Wateringse Veld;Escamp;52.01841002263072;4.300938703876429;1
Vereniging van Eigenaars Grotiusplaats, gelegen aan het Maria Stuartplein 10, 15 tot en met 279, 284, 296, 297, 301 tot en met 690, 695 en 696 te Den Haag;654;2595BW;301;Bezuidenhout;Haagse Hout;52.081616146486965;4.328696198601278;2
Vereniging van Eigenaars Vrouw Avenweg te 's-Gravenhage;629;2493WM;6P;Leidschenveen;Leidschenveen-Ypenburg;52.0633996752292;4.399045410166296;1
Vereniging Van Eigenaars Complex De Lamel;484;2521RJ;1860;Laakkwartier en Spoorwijk;Laak;52.06406400908108;4.321567610524986;14
Vereniging Van Eigenaars De Brink 14 Tot En Met 580;481;2553HE;274;Kraayenstein en Vroondaal;Loosduinen;52.04752724403383;4.233435237788183;10
Vereniging van Eigenaars Grotius I, gelegen aan het Maria Stuartplein 301 tot en met 690 te Den Haag;389;2595BW;301;Bezuidenhout;Haagse Hout;52.081616146486965;4.328696198601278;1
Vereniging Van Eigenaars Complex Van Maanenkade 7 T/M 13,5,6 En 14 T/M 215 En Rijkswijkseplein 181 T/M 188, 180 En 189 T/M 390 Te S-Gravenhage;380;2516LM;59;Stationsbuurt;Centrum;52.071723479153725;4.3250079023248755;8
"Vereniging van Eigenaars ""Kraayenstein"" aan het Forellendaal te 's-Gravenhage";378;2553LE;108;Kraayenstein en Vroondaal;Loosduinen;52.04806459939984;4.236014535765996;27
Vereniging van eigenaars gebouw Waldo Tower aan de Waldorpstraat 746 tot en met 1390 (even nummers) en Calandkade 168 te 's-Gravenhage;320;2521CW;750;Laakkwartier en Spoorwijk;Laak;52.0593961277982;4.310803636089898;3
Vereniging van Eigenaars Burgemeester Patijnlaan 10 tot en met 590 (even nummers) Couperusduin I en II thans Vereniging Couperus-Duin-Archipel zie akte dl 12119 /18;314;2585BL;50;Archipelbuurt;Centrum;52.089077663764314;4.298166871374986;13
Vereniging Van Eigenaars Plaza Leonardo Da Vinci, Aan En Nabij De Gevers Deynootweg, De Harstenhoekweg, De Zwolsestraat En De Utrechtsestraat Te 'S-Gravenhage;310;2587TX;1H;Belgisch Park;Scheveningen;52.11409205449297;4.285034902963312;8
Onder Vereniging van eigenaars woningen Orionstraat 17 tot en met 221 (oneven) te Den Haag en Pegasusstraat 83 tot en met 475 (oneven) te Den Haag;300;2516AR;83;Binckhorst;Laak;52.07020102437189;4.342699956947842;2
Vereniging Van Eigenaars Calandria;298;2521BJ;41B;Laakkwartier en Spoorwijk;Laak;52.06246999338679;4.314865032722437;4
Vereniging van Eigenaars Willem Dreespark A, B en C te 's-Gravenhage;294;2531SK;131;Moerwijk;Escamp;52.05608640377442;4.307095931050922;15
Vereniging Van Eigenaars Willem Dreespark Te 'S-Gravenhage;288;2531SJ;107;Moerwijk;Escamp;52.05608640377442;4.307095931050922;15
Onder-Vereniging van eigenaars woningen 1e Lulofsdwarsstraat 20 tot en met 42-U (even nummers) en Vermuydenstraat 2 tot en met 12 (even nummers) te s gravenhage;288;2521AZ;20S;Laakkwartier en Spoorwijk;Laak;52.06084238483716;4.312924799582234;2
Vereniging Van Eigenaars Gebouwencomplexen Kortenbos I,Ii En Iiigelegen Aan De Gedempte Sloot En Sirtemastraat Te 'S-Gravenhage;269;2513TD;16;Centrum;Centrum;52.07683061857411;4.30067333312366;9
Vereniging van Eigenaars Grotius II, gelegen aan het Maria Stuartplein 15 tot en met 279 te Den Haag;265;2595BX;15;Bezuidenhout;Haagse Hout;52.0811003640526;4.328907157010533;1
"Vereniging van Eigenaars ""Kraayenstein Hoogbouw"" aan de Forellendaal te 's-Gravenhage";260;2553KL;736;Kraayenstein en Vroondaal;Loosduinen;52.04819789034872;4.237758844270464;20
Vereniging Van Eigenaars Granaathorst Te 'S-Gravenhage;230;2592SP;47;Mariahoeve en Marlot;Haagse Hout;52.09120098173416;4.3556725208886355;11
Vereniging Van Eigenaars Ametisthorst 11 Tot En Met 405 Te 'S-Gravenhage;225;2592HA;2;Mariahoeve en Marlot;Haagse Hout;52.093107102640346;4.359222266450089;9
vereniging van eigenaars zhb-hoven te 's-gravenhage;209;2513PR;3;Centrum;Centrum;52.07611553333264;4.296921862263496;11
Vereniging van Eigenaars Haagsche Kwartier Escamplaan/Leyweg (HS);209;2547EW;862J;Leyenburg;Escamp;52.057773717338875;4.2640740776198705;3
Vereniging van Eigenaars City Tower van complex New Babylon aan het Anna van Buerenplein te Den Haag;205;2595DC;126;Stationsbuurt;Centrum;52.0819175991744;4.32471604921797;4
Vereniging Van Eigenaars Theo Mann Bouwmeesterlaan-Else Mauhs- Laan Te 'S-Gravenhage;201;2597HJ;58;Benoordenhout;Haagse Hout;52.10551349754542;4.325130423428454;11
Vereniging Van Eigenaars Van Het Gebouw De Kam Te S Gravenhage;201;2521ZE;103;Laakkwartier en Spoorwijk;Laak;52.06294683309152;4.3213875642903;5
Vereniging Van Eigenaren De Brink 702 T/M 990 En 1046 T/M 1130 Te 'S-Gravenhage (Even Nummers);198;2553HZ;1046;Kraayenstein en Vroondaal;Loosduinen;52.0493958662037;4.231831320194403;9
"Vereniging Van Ondereigenaars Woningen Complex ""De Stede"" Aan De Eekhoornrade, Hazenrade, Nevenstede En Vrederustlaan Te 'S-Gravenhage";198;2543BA;5;Bouwlust/Vrederust;Escamp;52.04256118136658;4.261864890450975;10
Vereniging Van Eigenaars Winkel-/Woonappartementencomplex De Stede Te S Gravenhage;192;2543BA;5;Bouwlust/Vrederust;Escamp;52.04256118136658;4.261864890450975;10
Vereniging Van Eigenaars Forellendaal 127 Tot En Met 507 (Woningen);189;2553JJ;219;Kraayenstein en Vroondaal;Loosduinen;52.04701681566127;4.238552018018813;13
VVE Brigantijnlaan 9 tot en met 291 (oneven nummers), Fluitschiplaan 10 en 14 en Windjammersingel 16 tot en met 66 (even nummers) 's-gravenhage;189;2496ZS;99;Ypenburg;Leidschenveen-Ypenburg;52.05395465043539;4.387835111822977;3
Vereniging van Eigenaars parkeerplaatsen, woningen en bergingen Oude Haagweg (ongenummerd) en Nieuw-Rozenburgstraat 2 tot en met 20 (even nummers), Oude Haagweg 485, 485-1 tot en met 485-27 (doorlopen;184;2552GG;489;Waldeck;Loosduinen;52.061540364847055;4.256430998146806;3
Vereniging van Ondereigenaars woningen en bergingen Nieuw-Rozenburgstraat 2 tot en met 20 (even nummers), Oude Haagweg 485, 485-1 tot en met 485- 27 (doorlopend genummerd), 487, 487-1 tot en met 487-5;183;2552GG;489;Waldeck;Loosduinen;52.06197485728623;4.256220300343285;3
"Ondervereniging van eigenaars Woningen gelegen aan het Maanplein 111 tot en met 120 te 's-Gravenhage in het gebouw ""Nova""";183;2516CK;111J;Binckhorst;Laak;52.06658624529806;4.349420848441179;1
"""Ondervereniging Van Eigenaars Woningen Oranjeplein/Koningstraat Te 'S-Gravenhage""";179;2515PV;100;Stationsbuurt;Centrum;52.07121364978215;4.313687906864995;12
Onder-Vereniging van eigenaars woningen 1e Lulofsdwarsstraat 10 tot en met 20-L (even nummers) en Calandkade 48 tot en met 73 en 75 tot en met 98 te Den Haag;174;2521AZ;10U;Laakkwartier en Spoorwijk;Laak;52.061267110185646;4.313892876902372;2
Vereniging Van Eigenaars Van Het Gebouw Aan De Hector Berliozstraat/Jules Massenetstraat/Jules Massenethof Te 'S-Gravenhage;173;2551XL;6;Waldeck;Loosduinen;52.057153603979195;4.243325922607261;6
Vereniging Van Eigenaars Sirtemastraat 12 Tot En Met 336 (Even) Te 'S-Gravenhage;171;2513SN;12;Centrum;Centrum;52.076403870715325;4.299185162685527;7
Vereniging van Eigenaars Dedemsvaartweg/Zuidlarenstraat/Gietenstraat te 's-Gravenhage;168;2544BV;790B;Morgenstond;Escamp;52.05061728145451;4.264479260320761;5
Vereniging Van Eigenaars De Markthof 'S-Gravenhage;166;2512AM;437;Centrum;Centrum;52.07657671868685;4.314791994937545;1
vereniging van ondereigenaars woningen jan van riebeekstrat 229 tot en met 569(oneven nummers) en stallinggarage jan van riebeekstraat 225 te 's-gravenhage;166;2595TW;363;Bezuidenhout;Haagse Hout;52.079869187776445;4.327321803836033;5
Vereniging Van Eigenaars Barnsteenhorst 2 Tot En Met 446 ( Even Nummers) Te 'S-Gravenhage;160;2592ES;342;Mariahoeve en Marlot;Haagse Hout;52.09469673912514;4.352886799611569;8
Vereniging Van Eigenaars Woon/Kantoren/Parkeercomplex Bezuidenhoutseweg 20 En Boslaan 85 Tot En Met 393 Te Den Haag;155;2594ND;141;Haagse Bos;Haagse Hout;52.08452585822845;4.326925254646653;6
Vereniging Van Eigenaren P. Langendijkstraat 4-6-8-20, Erasmusplein 87, J. Blasiusstraat 98-100 (Fictief) Te 'S-Gravenhage;152;2532RG;87;Moerwijk;Escamp;52.05055834998393;4.29845374672338;1
"""Vereniging Van Eigenaars De Gaarde 10-206/Zwaardvegersgaarde 39-91/Schrijnwerkersgaarde 9-99 Te 'S-Gravenhage""";152;2542TR;47;Bouwlust/Vrederust;Escamp;52.03769449416543;4.271489188868404;7
Vereniging van Ondereigenaars Woningen Kortenaerkade 2, 2a tot en met 2h, 2j, 3, 3a tot en met 3h, 3j tot en met 3n, 3p, 3q, 4, 4a tot en met 4h, 4j tot en met 4n, 4p en 4q, 5, 5a tot en met 5h, enz;151;2518AX;2F;Zeeheldenkwartier;Centrum;52.083309137266234;4.301540459956111;3
Vereniging Van Eigenaren 'S-Gravenduyn Gebouwen Mozartlaan,N, Willem Pijperstraat,Landrestraat) Te 'S-Gravenhage;149;2555KG;443;Waldeck;Loosduinen;52.05947241853797;4.229043899522646;10
"Vereniging van Eigenaars Ondersplitsing Hoofdgebouw ""Park Hoog Oostduin"" aan het Oostduinplein 10 tot en met 206 te Den Haag";146;2596JR;19;Benoordenhout;Haagse Hout;52.094686087595065;4.314049966303958;1
Vereniging Van Eigenaars Hoefkade 43 E.A.Te 'S-Gravenhage;143;2526BP;53B;Stationsbuurt;Centrum;52.07069860110434;4.318503404757755;7
Vereniging Van Eigenaars Princelandt Te Scheveningen,Gelegen Aan Het Rederserf 2 Tot En Met 300;141;2586KE;138;Scheveningen;Scheveningen;52.11199000391246;4.27974680112419;9
